id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1348619539311898624,1348619539311898624,2021-01-11 19:15:28 Bangladesh Standard Time,2021-01-11,19:15:28,+0600,15913026,c2snow,Meg,,Extremists are extremists   #WhitePrivilege #CapitalHill #terrorist  https://t.co/x1Lx1CpJ73,en,[],[],['https://pbs.twimg.com/media/ErdCUsJXAAQm1Pv.jpg'],0,0,0,"['whiteprivilege', 'capitalhill', 'terrorist']",[],https://twitter.com/c2snow/status/1348619539311898624,False,,1,https://pbs.twimg.com/media/ErdCUsJXAAQm1Pv.jpg,,,,,,,[],,,,
1348619496320360449,1348605400594190336,2021-01-11 19:15:18 Bangladesh Standard Time,2021-01-11,19:15:18,+0600,1342631119850790914,bling_golden,GoldenBling,,"@kilmeade I can’t seem to find where the @POTUS said go to Capital Hill and create havoc, can you have Fox show it!  https://t.co/10A2RdxPFH",en,"[{'screen_name': 'potus', 'name': 'president trump', 'id': '822215679726100480'}]",[],['https://pbs.twimg.com/media/ErdCSKOW4AIvgmg.jpg'],0,0,0,[],[],https://twitter.com/bling_golden/status/1348619496320360449,False,,1,https://pbs.twimg.com/media/ErdCSKOW4AIvgmg.jpg,,,,,,,"[{'screen_name': 'kilmeade', 'name': 'Brian Kilmeade', 'id': '43919633'}]",,,,
1348619420592201728,1348619420592201728,2021-01-11 19:15:00 Bangladesh Standard Time,2021-01-11,19:15:00,+0600,1166649668,ccahart,Cathy ann,,Because we Patriots know what happens on Capital Hill and this staged debacle,en,[],[],[],0,1,0,[],[],https://twitter.com/ccahart/status/1348619420592201728,False,https://twitter.com/lotharbirkner/status/1348549982807318530,0,,,,,,,,[],,,,
1348619377848049665,1348618615063384066,2021-01-11 19:14:50 Bangladesh Standard Time,2021-01-11,19:14:50,+0600,1303924034116235264,logiccouncil,Council Of Logic,,"@Bholenath ""A mere trespassing on capital hill"" multiple cops beaten, one to death, brought BOMBS and rifles, erected a gallows and hunted for poloticians with zip ties yeah dont try to vindicate full on terrorism as simple protests.",en,[],[],[],1,0,1,[],[],https://twitter.com/LogicCouncil/status/1348619377848049665,False,,0,,,,,,,,"[{'screen_name': 'Bholenath', 'name': 'Bhole Vishwakarma', 'id': '18818603'}]",,,,
1348619306574217218,1348617735710846978,2021-01-11 19:14:33 Bangladesh Standard Time,2021-01-11,19:14:33,+0600,3843879981,tiredmom3boys,SG,,@washingtonpost There is simply no excuse for the behavior &amp; mob mentality that happened on Capital Hill in response to Trump's requests. He needs to be punished &amp; so do all the people that went to the Capital to cause harm.,en,[],[],[],1,0,6,[],[],https://twitter.com/TiredMom3boys/status/1348619306574217218,False,,0,,,,,,,,"[{'screen_name': 'washingtonpost', 'name': 'The Washington Post', 'id': '2467791'}]",,,,
1348619245102526465,1348619245102526465,2021-01-11 19:14:18 Bangladesh Standard Time,2021-01-11,19:14:18,+0600,1162382267479678977,segodfrey3,S.E. Godfrey,,"Politicians have used inflammatory language for years (take to the streets, bullseye on opponents, etc), but the difference here was people took trump literally. Is that a failure of the followers or the leader? #CapitalHill #MAGATerrorists",en,[],[],[],0,0,0,"['capitalhill', 'magaterrorists']",[],https://twitter.com/SEGodfrey3/status/1348619245102526465,False,,0,,,,,,,,[],,,,
1348619216279240705,1348483873622138880,2021-01-11 19:14:11 Bangladesh Standard Time,2021-01-11,19:14:11,+0600,2370734041,celanbryant,Celan Bryant (CB),,"@LotharBirkner @Micrograma Plus, I listened to Trump's full speech,  can you tell me exactly what he said that incited violence? He told people to go down to Capital Hill --that's it. Under what circumstance is a revolution acceptable for you? Democracy is a precious thing and we must fight for it.",en,[],[],[],2,0,0,[],[],https://twitter.com/celanbryant/status/1348619216279240705,False,,0,,,,,,,,"[{'screen_name': 'LotharBirkner', 'name': 'Lothar Birkner', 'id': '2939942884'}, {'screen_name': 'Micrograma', 'name': 'Microgramma', 'id': '2317420076'}]",,,,
1348619116790362115,1348619116790362115,2021-01-11 19:13:48 Bangladesh Standard Time,2021-01-11,19:13:48,+0600,451205409,pad4truth,THE BATCHELOR PAD,,"The Batchelor News Radio Network is now playing ""The Batchelor News Radio Show discussing Trump supporters staging a coup at Capital Hill""! Check it out!  https://t.co/hoNwn2gkOc. by going to the Batchelor News Radio Show Page  https://t.co/AUYY3BbopM",en,[],"['https://lnkd.in/dvFDGPX', 'https://lnkd.in/dN2K7-b']",[],0,0,0,[],[],https://twitter.com/pad4truth/status/1348619116790362115,False,,0,,,,,,,,[],,,,
1348619037148925952,1348560823396884481,2021-01-11 19:13:29 Bangladesh Standard Time,2021-01-11,19:13:29,+0600,3231140483,pedro_chosenone,Pedro Smith,,"@HawaiiDelilah @joncoopertweets It is alledge that Supreme Court Justice Clarence Thomas wife paid fees for 70 buses with hundreds of rioters that damage Capital Hill, if this is true she should be held responsible and accountable for the actions of the rioters on January 6 2021!  https://t.co/EqoS4DMGG7",en,[],[],['https://pbs.twimg.com/media/ErdBpRfXEAAG3Oo.jpg'],0,0,1,[],[],https://twitter.com/Pedro_ChosenOne/status/1348619037148925952,False,,1,https://pbs.twimg.com/media/ErdBpRfXEAAG3Oo.jpg,,,,,,,"[{'screen_name': 'HawaiiDelilah', 'name': 'Dr. HawaiiDelilah™', 'id': '164554364'}, {'screen_name': 'joncoopertweets', 'name': 'Jon Cooper 🇺🇸', 'id': '27493883'}]",,,,
1348619033369845763,1348557067351519234,2021-01-11 19:13:28 Bangladesh Standard Time,2021-01-11,19:13:28,+0600,1280541511139106818,lux_fae,Lux 🏳️‍🌈,,"@HelvidiusPrisc @TMIWITW @BirdRespecter Minorities get doxxed by fascists for existing, which you then use to hun minorities down  Fascists get doxxed after attempting to overthrow the government and murdering ppl while breaking into Capital Hill  See the difference?",en,[],[],[],7,1,1,[],[],https://twitter.com/Lux_fae/status/1348619033369845763,False,,0,,,,,,,,"[{'screen_name': 'HelvidiusPrisc', 'name': 'HelvidiusPriscus 🇺🇸🦈', 'id': '1096990906991939584'}, {'screen_name': 'TMIWITW', 'name': 'Queen Velvet', 'id': '1104142243865214976'}, {'screen_name': 'BirdRespecter', 'name': 'Classic Bird Respecter', 'id': '8611532'}]",,,,
